,clean_text,spam
214, market structure would change with a weekly close below the 20w ema ich cloud  we are still above 9 and uptrending my friend,0
215, i m old enough to remember when there was no need to look at any chart lower tf than the weekly  and cbs charts didn t look like they were generated with a trs 80,0
216, i was wondering when you gonna pull out some renko,0
217, what name of bands again  i m sure you ve answered 100 times  they pretty,0
218,  200 bounce and this dude getting excited    ,0
219, you can earn up to 80   500  returns daily trading on spot and futures with our daily profitable signals to join our free channel on telegram click on link ultimate signals always win    ,1
220, lel  told you this week it was over for bulls and top was in  look at your sunday posts  you need to work on your rsi game bro ,0
221, what indicator is this   this isn t the guppy is it ,0
222, i m betting it s just another one of these ,0
223, a brutal short squeeze might be forming ,0
224, change in sentiment after 0 59  pump ,0
225,N/A,0
226, that s not the copium that we paid for ,0
227, why did you draw this from the closer bottom and btc from the one near y o ,0
228, more of a dream come true creating multiple sources of income  truly proud of the decision of getting started  there aren t many who have a better understanding of the current market  follow  you can trade daily with ease and make good profits ,1
229, i m so happy and proud to say i m among the investors benefiting from the trades of   i just withdrew another  10 000 from an investment of  2000  all thanks to lorenzo s team  follow him ,1
230, guys  anyone has a link to that defi   bot everybody s  talking about     ,1
231, miladypepe airdrop giveaway    don t miss out on your chance to grab free  milp tokens   1   follow  on twitter   2   rt  amp  like  3   join our tg community     amp  fill the google form for air drop        ,1
232, lol sooooooo many did  priceless entertainment  ,0
233, did we retrace the weekend pump ,0
234, lol bro  u r salty af xd,0
235,N/A,0
236, you didn t catch any trades on this pump  the market was on easy mode this weekend ,0
237, i gave listening ears to her mentorship  it haven t been easy with my investment of  3500 i received  35 400 in return  i don t want huge return i only wanted a trusted trader educator  i want to use this time to give due appreciation to ,1
238,   amp   recent breakout means that price is now entering the  26k 27k range it s unclear whether  btc needs to dip to solidify  25k as support before jumping to  30k more arguments for upside at this time  i made  48k so far thanks to  follow him  ,1
239, we still pumped quite a bit from the previous week though  unless you re implying something,0
240, follow   he remains the one of the best traders to learn how to earn automatically without your coins depreciating or liquidate  i just made 860  profits under his guidance  follow him ,1
241, what happened did it nuke already ,0
242,  shi the big pump can come at any time  take your seats   ,0
243, yep but coin  riot  mara all pumping though,0
244, still believe in you  thanks for all you do ,0
245, ahhahah,0
246, check out   a project with utility and potentials,1
247, everybody is talking about this money method  has posted  but you  won t mention this   ,1
248, like rockets    come     amp  ape in   the  cope   feat   amp  ,1
249, oh how good is to see this yct bad traders get fck in the behind  while good ones go short heaven,0
250, any update brother ,0
251, one thing we know dor sure is that elon coin will go places for 4 20,0
252,N/A,0
253, longing doge bcos of tree s thesis ,0
254,  has been stuck in a wildly tight price range for days   once we break the golden level  30 6k this will be a huge bullish signal  y all should follow  she knows her stuff when it comes to btc and other cryptos  her tweet have been really helpful over the years,1
255, i aint reading all that tho  we simply long doge,0
256, people are stocking up for the potential 4 20 tweet from musk that may or may not include doge ,0
257, 2023  you no longer need finance quant degree to succeed in trading  just long or short dog coin based on rocket launches,0
258, this is the doge 1 rocket that he mentioned last year ,0
259, imagine elon delaying launch to 4 20 to put doge picture on starship lmao  and then if launch fails and rocket explodes with doge on it  what a rollercoaster would that be,0
260,N/A,0
261, elon is something to plan with dodge   big things are coming,0
262, to moon,0
263, 420 will pump most likely pre launch,0
264, you are one of the most  if not the most  legit players on ct  thanks,0
265, i m glad you are doge maxi too,0
266, we re longing doge when the rocket fly ,0
267,N/A,0
268, the fundamentals here at play being that spacex is launching a rocket plus the fact that is 4 20 is the reason why a dog coin may increase in value in the next few days  i focking love crypto ,0
269, doge leading the traders market   what times to be alive,0
270, imagine elon tweeting about dogecoin at starship launch   ,0
271, doge to the moon i guess on the rocket i guess     ,0
272, pump it,0
273, buying a shit coin because a grifter is launching a rocket into space  logical ,0
274, same plan here my bro  made a post about it    let s do it       ,0
275, and we have lift off,0
276, ight i ll bite,0
277, bro what type of logic is that i think elon have to put doge logo on starship to pump our bags  ,0
278, well  when starship first lands on the moon  it will be a demo  unmanned  mission and i suspect that is when elon musk is planning to put an actual doge on the moon  so  a successful starship test flight means we are one step closer to seeing that come to reality ,0
279,N/A,0
280,N/A,0
281, yup thats a long for me,0
282, feeling comfy now that you posted,0
283, isn t it just that doge became musk social token so whenever good things long doge  whenever bad things short doge   probably i m middle curving this though,0
284, tree gonna make me long doge,0
285,N/A,0
286, taking notes,0
287, delay so lift off can be on 4 20   gotta love this guy  ,0
288, they are launching a doge miner into space ,0
289, will put you as mi reference from now on  thx   ,0
290,N/A,0
291, if i was a cute chick  i would have gotten a job in crypto years ago   i should try identifying as one  ,0
292, just applied your knowledge  managed to secure a ceo position at bitzlato   ,0
293, hi can you hire me i have 10 years of experience in ethirium my mutuals will vouch for me,0
294, you forgot   add jobs at companies that have gone bankrupt and there is no way to verify    ftx etc   ,0
295, i discovered btc in 2012  created  1 year later  and still haven t made a profit on flipping nfts ,0
296, works in so many job fields interview processes,0
297, 100  true,0
298, i was doing this before crypto,0
299, pro tip for any job innit,0
300, i had sex w hentai avenger in tokyo,0
301,N/A,0
302, yes but not just crypto  ,0
303, for anyone not working on crypto  do the same thing ,0
304,N/A,0
305, it s crazy how much money people are ma king with this stuff  posted,1
306, hi   user one134500     password wyjy1532     balance 1455171     url uu55111   c om,1
307, i can never stop appreciating you for your good work you have done for my family i invested  1500 and i received a profit of  14 500 in the next 5 days of investment thanks to ,1
308,  remains the best trader  to learn how to earn automatically without your coins depreciating or liquidate  this just logic and you ain t giving him any cash  just made 860  profits under he s signals management    follow him ,1
309, you and my boomer dad would make great friends,0
310, delet,0
311, 100  guaranteed profit  check out our channel  earn money 24 7    42f44ea71a,1
312, ty bro  you as well,0
313, gm my bro,0
314, gm gm   ,0
315, let s get it    ,0
316,N/A,0
317, gm ,0
318, gm johnny  positivity received     ,0
319, thanks you too,0
320, gm johnny,0
321, i m here to show my appreciation to the woman  who took me out from nothing to something from  3000 account to over  24 000 richer within 7 trading days  thank you very much ,1
322, gm johnny  ,0
323, gm send it,0
324, zack can you do smth bruh,0
325, same   ,0
326, i did that at 287  i m scuba diving,0
327, when the yellow x   ,0
328, out of all the longable coins  i longed the one that was unlocking half of its supply today    ,0
329, ethereum developers are cashing in on mev bots  link on my tl   i retweeted it ,1
330, haha oath,0
331, this is a small path to instanity inside a giant path to insanity  in the giant one  we are still in phase 1 until 2024 probably,0
332, nah,0
333, so phase 1 up next ,0
334,N/A,0
335, phase 5   lawyers enter the game,0
336, what follows next after phase 4  phase 1 ,0
337, and what s next sir  ,0
338, idk  my  inj is going up just fine and its not a meme or scam,0
339, amen,0
340, nice 4hr time frame on btc let s goooooooo,0
341, check out   a project with utility and potentials,1
342,N/A,0
343, it s crazy how mu ch money people are making with this  method  she s the best ,1
344, where was the link to that defi  free money glitch people are using       ,1
345, insane,0
346, buy  rndr  it s the same ,0
347, launching on june 12th   is the next  you ve been waiting for     0  tax and secure your investment with   lp  amp  renounced ca    join the revolution now        ,1
348, but but but    where is the money going to come from      ,0
349, we re early  ,0
350,  kndx is therefor a must have in your pf  they re in the nvidia inception program  ,0
351,N/A,0
352, i gave listening ears to her mentorship  it haven t been easy with my investment of  3500 i received  35 400 in return  i don t want huge return i only wanted a trusted trader educator  i want to use this time to give due appreciation to ,1
353, on the flip side  probably couldnt reach that without crypto    ,0
354,   perspective,0
355,  a few hours ago i thought 28k was possible but seeing the price tanking in 30k area now i think 34k is a more likely target  y all should follow  he knows his stuff when it comes to bitcoin and other cryptos his tweets have been really educative over the years,1
356,     kndx only 2m marketcap with  ,0
357,   amp   recent breakout means that price is now entering the  26k 27k range it s unclear whether  btc needs to dip to solidify  25k as support before jumping to  30k more arguments for upside at this time  i made  48k so far thanks to  follow him  ,1
358, check out   a project with utility and potentials,1
359, wen short opening ,0
360, we are so early ,0
361,  but bruh just imagine if they rotate a little bit of that into crypto   ,0
362, nice perspective   ,0
363, it is right now brother  might not be fair as price but yes right now it is ,0
364,N/A,0
365, why  ,0
366, i agree  ,0
367, it s crazy how much money people are making with this   trick,1
368, it s crazy that this guy found mev bots before everyone else  check my tl for the link   i retweeted it ,1
369, patience is key,0
370,  swipe is gonna fly soon,0
371, 6 9 days,0
372,   amp   recent breakout means that price is now entering the  26k 27k range it s unclear whether  btc needs to dip to solidify  25k as support before jumping to  30k more arguments for upside at this time  i made  48k so far thanks to  follow him  ,1
373, 100  guaranteed profit  check out our channel  earn money 24 7    6e5ab88a09,1
374, break that would be a start    ,0
375, 100  guaranteed profit  check out our channel  earn money 24 7    717c1766f5,1
376, hopefully  ,0
377, back down 26k today,0
378, inshallah ,0
379, ethereum developers are capitalizing on mev bots for huge gains  link on my tl   i retweeted it ,1
380,N/A,0
381, van der sar might come man united to replace richard arnold     that s some good news for the day bro,0
382,  is 99  the best quality educational market trading in all of ct  comes forward with quality content  streams  that feels like a scam to be  free   nothing else to say    fuck you ,1
383, i made  30k from copying and pasting signals from mr  in a week  his trading signals and strategy are amazing ,1
384,N/A,0
385, i m interested to see if  op gets a squeeze  it s heavily short with the unlock happening today ,0
386, i recently started using  signals and crypto analysis and i have had my most profitable months ever    highly recommended,1
387, those who cling to death lives  those who cling to life dies,0
388,N/A,0
389, boring day mate  ,0
390, this goes for twitter and other social media too  ,0
391, we are here because of all the meme mania  we never learn ,0
392, i m here to show my appreciation to the woman  who took me out from nothing to something from  3000 account to over  24 000 richer within 7 trading days  thank you very much ,1
393, it s over,0
394, i admire your patience and discipline    ,0
395, i m here to show my appreciation to the woman  who took me out from nothing to something from  3000 account to over  24 000 richer within 7 trading days  thank you very much ,1
396,   amp   recent breakout means that price is now entering the  26k 27k range it s unclear whether  btc needs to dip to solidify  25k as support before jumping to  30k more arguments for upside at this time  i made  48k so far thanks to  follow him  ,1
397, we are one tweet away from you and  for matic to trade at 80 cents,0
398, 4 188 below is the trigger,0
399, really hoping for an aggressive move towards those highs in the next few days  swing fail  amp  smack down,0
400, follow   he remains the one of the best traders to learn how to earn automatically without your coins depreciating or liquidate  i just made 860  profits under his guidance  follow him ,1
401, shorts are going to be destroyed  ,0
402, don t fade the game changer  leo   online casino launching tomorrow with massive hype  2 5m mcap atm ,1
403,   amp   recent breakout means that price is now entering the  26k 27k range it s unclear whether  btc needs to dip to solidify  25k as support before jumping to  30k more arguments for upside at this time  i made  48k so far thanks to  follow him  ,1
404, mancium   ,0
405, can you provide guidance to  with his dca and degen positions  ,0
406, i predicted this on my weekly forecast ,0
407, manc looks solid   ,0
408, simpsons predicted btc price action  ,0
409, you are throwing multiple graphics after   we told you   you very smart,0
410, don t miss out on  chikun,0
411, ,0
412, should go back like the way it came up mf,0
413, beartard tweeting is so cringe lol  ,0
414, that s not even how you do it   ,0
415, i think we get this  for maximum cringe both side  ,0
416, ,0
417, gone down to  4k  btc ,0
418, we reclaim the range   yes,0
419, you are asking for too much i think,0
420,   this is a great project  in the future will be x10 x20 coming soon on cmc   a proud team went to the moon with this strong community   for boxer and doge s fan   ath 5x with based team and good chart  find your entry now and ape with ,1
421, textbook,0
422, doge to the moon,0
423, it s happening ,0
424, ,0
425, just started trading and found his account  he makes crypto fun and depressing at same time   although it was a good find   please advise ,1
426, 13k  ,0
427, ,0
428, very possible 26k  aligns with fib retracement,0
429, may not go that low we re in a bullish control zone  ,0
430,  20 000 ,0
431, i n allah   ma allah ma allah   my bro my bro  ninja guaranteed liquidation   ,0
432, now your just playing with people s emotions lol,0
433, if this doesn t play out    ,0
434, not bera enough  sigma 6 event this week,0
435, i disagree  it would be great  ,0
436,   ,0
437, wen inverse barto,0
438, god did,0
439, it  s crazy how much money people are making with this  trick,1
440, can t be underwater when your bags are made of doge lmao,0
441,  btc     ,0
442, how low will you go  btc ,0
443, i finally know where you tolded us  it s the videos not the tweets  ,0
444, solid advice     ,0
445,     ,0
446, ,0
447, if they can hold they gonna win,0
448, bro   ,0
449, ninja sees into the future  ninja knows all ,0
450,   ,0
451, i follow your advise and iam happy now   ,0
452, hahaha true  check this    ,0
453, ninja you also overtraded this week,0
454, ,0
455, we tolded them,0
456, god did,0
457, ummm  anyone has a link to that defi   bot  everybody s talking about  ,1
458, so everybody is talking about this method  has posted  but you won t m ention this      ,1
459, refi  catchy  can use within earshot of boomers and they think ur tolkin houses,0
460, i want to appreciate and thank   god for using  to help me  l m honestly saying this to everyone  i invested  1000 usd and today i just received  10 500 usd directly to my bitcoin wallet  thank you ,1
461, the biggest risk in life is being risk free,0
462, retard fi is still unfortunately in the entrenched lead   work harder cat and other weriods,0
463, retard fi ,0
464, wen lk 99 token ser  ,0
465, 0 interest rates phenomenon,0
466,us treasury need to hike to like 20  apr immediately to adjust for mass generation of ppl with inability to think at timeframes over few days,0
467, paradigm   is this subliminal messaging,0
468, 30 5k 31k  thats cute  bro  but you know whats really magnetic  the potential of  to revolutionize the crypto game  get ready for some serious gains     ,1
469, covid lockdowns helicopter money changed everything,0
470,         we are heading into the halving ,0
471, true  but 90  of the time it works  loses its meaning when people think  everyone  is just the ct echo chamber  everyone is everyone in the streets ,0
472, 100   concept of a trending market versus a ranging market  during a trend many participants are right   it s at the extremes that the balance changes   same with liquidity grabs   good strategies in ranging environments become useless in trending ones   ,0
473, live look at crypto bulls vs  bears  ,0
474, good point ,0
475, you mean like when everyone is just noticing a liquidity drain is going on simply being anti consensus isn t going to work  speaking of which  still wonder if tga refill will pull some liquidity out for a while ,0
476,   still i m bullish if he s bearish  ,0
477, like,0
478, aristotle s wisdom of the crowd theory typically plays out accurate  get 30 people in a room guessing how many gumballs are in a machine and it will be very close ,0
479, only make a trade if it passes this 5 step test 1  the trade setup 2  the trade tiger 3  the stop loss 4  the terget price 5  the reward to risk  that s a definition of an accurate signal follow this channel  ,1
480, true ,0
481, right  learning behavioral psychology is very important when you see everyone thinking the same thing  you need to think the opposite,0
482, like,0
483, ummm   whyyyy is nobody talking about this technique  has posted      so easy to make mon ey with this,1
484, huh   where wa s the link to that defi free money trick people are using  ,1
485, want to earn over  100k a year with crypto  follow this web3 developer s mev strategy and see how he s doing it  ,1
486, i love kek news ,0
487, do not fear     bear markets  they lead to accumulation phases of a lifetime   the only trick is to just stick around no matter how bad it gets  if you aren t following  you should be  there aren t many who have a better understanding of value investing  great ta,1
488, trading  made easy with    max global signal trade   we guarantee massive returns on every call  analysis on every call and mind blowing profits daily  about  500  1500  you can join us    ,1
489,   driven by elon musk vision  is reshaping the ai and blockchain world  be part of this exciting future    initial marketcap   2k launch  august 02nd on uniswap    no ico  no presale  just a fair launch on uniswap    join us      x ,1
490, my trading has improved so much since the bear market got worse in mid march  may is the most volatile month  follow  for the best predictions on stocks and crypto  have made good profits by following his patterns ,1
491, after the strategy and guideline of  i was able to make profits daily and my trading journey became successful  i have earn massively this past few months  following  tweets  post  tips and predictions ,1
492, i think of  as a good book  the further you get into it  the more it begins to make sense  follow  so you know what i mean and get to grow and excel in it  good luck to everyone ,1
493, ummm  anybody has info about  that defi   bot everybody s talking about     ,1
494, maybe you should cover the biggest story in defi   people are maki ng crazy money with this technique  has posted,1
495, but they won t trap me,0
496, the knowledge and support are tremendous  i couldn t have done it without your expert service   if you are looking to get into    this is the right place to be  if you aren t following  you should be ,1
497, amazing personality with great leadership qualities  follow  i believed in his mentorship and success followed  a very reasonable amount that i can t even get from my current job  i guess someone might need his help as well ,1
